"","crime_day","temp","wdsp","NUM_CRIMES"
"137",6,46,8.7,0.678010471204188
"138",7,56.8,13.3,0.819371727748691
"139",1,58.3,14.3,0.630890052356021
"140",2,66.3,16.3,0.573298429319372
"141",3,63,9.1,0.753926701570681
"142",4,56.2,8.9,0.636125654450262
"143",5,51,5.1,0.683246073298429
"144",6,51.4,5.3,0.557591623036649
"145",7,56.9,4.5,0.730366492146597
"146",1,69,11,0.609947643979058
"147",2,72,10.7,0.573298429319372
"148",3,53.6,11.4,0.667539267015707
"149",4,51.4,11.5,0.604712041884817
"150",5,53.2,7.2,0.738219895287958
"151",6,57.8,6.9,0.793193717277487
"153",1,73.6,23,0.866492146596859
"154",2,71.2,14.4,0.924083769633508
"155",3,60.3,10.8,0.602094240837696
"156",4,55.3,8,0.670157068062827
"157",5,59.2,3.9,0.819371727748691
"158",6,66.1,8.6,0.848167539267016
"159",7,56.3,21.4,0.594240837696335
"160",1,53.6,11.3,0.727748691099476
"161",2,53.8,11.1,0.335078534031414
"162",3,55.8,14.5,0.599476439790576
"163",4,58.5,7,0.722513089005236
"165",6,62.8,11.5,0.780104712041885
"166",7,67.5,18.8,0.884816753926702
"167",1,75.2,12.4,0.856020942408377
"168",2,75.1,18.5,0.897905759162304
"169",3,70.7,11.7,0.591623036649215
"170",4,58.2,9.5,0.727748691099476
"171",5,68,8.7,0.897905759162304
"172",6,60.5,8.4,0.835078534031414
"173",7,61.6,5.4,0.840314136125654
"174",1,63.4,6.1,0.743455497382199
"175",2,67.9,6.2,0.827225130890052
"176",3,61.3,8.8,0.81413612565445
"177",4,57.2,8.7,0.732984293193717
"178",5,62.1,6.3,0.926701570680628
"179",6,73.1,14.1,0.803664921465969
"180",7,74.8,16.5,0.942408376963351
"181",1,76.1,18.8,0.664921465968586
"183",3,66.5,13.9,0.712041884816754
"184",4,59.4,7.3,0.890052356020942
"185",5,64.6,7.7,0.761780104712042
"186",6,68.2,10.7,0.926701570680628
"187",7,71.4,14.4,0.858638743455497
"188",1,75,15.7,0.924083769633508
"189",2,74.8,13.7,0.712041884816754
"190",3,68.1,10.4,0.806282722513089
"191",4,65.7,6.7,0.719895287958115
"193",6,73.1,11.6,0.691099476439791
"194",7,73.2,14.5,0.793193717277487
"195",1,70.4,7.7,0.709424083769634
"196",2,63,13,0.709424083769634
"197",3,61.3,9.8,0.787958115183246
"198",4,65.5,8.1,0.68848167539267
"199",5,68.1,10.5,0.863874345549738
"200",6,68.8,5.7,0.842931937172775
"201",7,69.8,6.9,0.777486910994764
"202",1,72.5,9,0.691099476439791
"203",2,77,14.8,0.756544502617801
"204",3,68.4,21.3,0.824607329842932
"205",4,62.8,14.2,0.808900523560209
"206",5,66.6,11.4,0.989528795811518
"207",6,69.8,10.1,0.858638743455497
"208",7,75.3,12.3,0.900523560209424
"209",1,62.7,23.1,0.858638743455497
"210",2,64.2,6.3,0.678010471204188
"211",3,64.5,8.3,0.649214659685864
"212",4,69.8,10.1,0.824607329842932
"214",6,68.4,7.1,0.918848167539267
"215",7,72.4,5,0.790575916230366
"216",1,73,8.3,0.617801047120419
