"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_CRIMES"
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,71.4,14.4,0.858638743455497
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,75,15.7,0.924083769633508
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,74.8,13.7,0.712041884816754
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,68.1,10.4,0.806282722513089
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,65.7,6.7,0.719895287958115
"184",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,73.1,11.6,0.691099476439791
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,73.2,14.5,0.793193717277487
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,70.4,7.7,0.709424083769634
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,63,13,0.709424083769634
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,61.3,9.8,0.787958115183246
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,65.5,8.1,0.68848167539267
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,68.1,10.5,0.863874345549738
"191",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,68.8,5.7,0.842931937172775
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,69.8,6.9,0.777486910994764
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,72.5,9,0.691099476439791
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,77,14.8,0.756544502617801
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,68.4,21.3,0.824607329842932
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,62.8,14.2,0.808900523560209
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,66.6,11.4,0.989528795811518
"198",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,69.8,10.1,0.858638743455497
"199",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,75.3,12.3,0.900523560209424
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,62.7,23.1,0.858638743455497
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,64.2,6.3,0.678010471204188
"202",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,64.5,8.3,0.649214659685864
"203",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,69.8,10.1,0.824607329842932
"204",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,68.4,7.1,0.918848167539267
